"time","m.c_pot.gate_act.n","m.c_sod.gate_act.n","m.c_sod.gate_inact.n","m.l.v","m.c_pot.g","m.c_sod.g","c.v"
0,0.3176769140606974,0.05293248525724957,0.5961207535084602,-90,0.3666444556069115,0.01060919283882985,-90
1.000333444481494e-05,0.3229804838977354,0.11252578862877,0.5902052022267722,-89.78747605593503,0.3917487543879825,0.1009114566530554,-89.78747605593503
2.000666888962988e-05,0.3282253966535388,0.1681793944561842,0.5843487734418751,-89.59017539305049,0.4178219273825752,0.3335582879965747,-89.59017539305049
3.001000333444481e-05,0.3334147308357102,0.2201925389940139,0.578550818631395,-89.44870271600222,0.4448787234962907,0.7411917151182774,-89.44870271600222
4.001333777925975e-05,0.3385544387908019,0.2688674137623907,0.5728106273347765,-89.40855331911524,0.4729514372797057,1.336001119404979,-89.40855331911524
5.001667222407469e-05,0.3436533511422604,0.3145071356117901,0.567127419368973,-89.51470595724307,0.5020937714914367,2.117158638254568,-89.51470595724307
6.002000666888963e-05,0.3487228981577994,0.3574069946234544,0.5615003596246319,-89.80653571475999,0.5323832243138746,3.076241506317483,-89.80653571475999
7.002334111370456e-05,0.3537764917772463,0.3978451557242952,0.5559285883263146,-90.31352653741158,0.56392115170788,4.200901291296851,-90.31352653741158
8.002667555851951e-05,0.3588286469264929,0.4360740169285977,0.5504112621777137,-91.05186220059662,0.5968303924195201,5.477081316980341,-91.05186220059662
9.003001000333445e-05,0.3638939856692773,0.4723132203867633,0.5449475953148252,-92.02231460322209,0.6312509021439167,6.890112173706941,-92.02231460322209
0.0001000333444481494,0.3689861953706737,0.5067447627887169,0.5395368909903416,-93.20947164339138,0.6673335735648305,8.425005594799531,-93.20947164339138
0.0001100366788929643,0.3741170037879861,0.5395106733893741,0.534178556160009,-94.58248575113042,0.7052324557104307,10.06625247324779,-94.58248575113042
0.0001200400133377793,0.3792953141694002,0.5707137035319441,0.5288720968802417,-96.09741017777118,0.7450963064462981,11.79741351491031,-96.09741017777118
0.0001300433477825942,0.3845265830077842,0.6004210621000604,0.5236170985510633,-97.70095260898194,0.7870602436618803,13.60074885207744,-97.70095260898194
0.0001400466822274091,0.3898124948494907,0.6286706062895693,0.5184131993681302,-99.33521740617226,0.8312382577073281,15.45705536020236,-99.33521740617226
0.0001500500166722241,0.3951509882597803,0.6554788867617229,0.5132600634812109,-100.9429303811301,0.8777175668129936,17.34582025521809,-100.9429303811301
0.000160053351117039,0.4005366102439221,0.6808499398482252,0.508157359824526,-102.4723574806858,0.9265553604823051,19.24569842971887,-102.4723574806858
0.0001700566855618539,0.405961130573157,0.7047837158165665,0.5031047481799182,-103.8812719455396,0.9777781184707008,21.13524299338063,-103.8812719455396
0.0001800600200066689,0.411414341555763,0.7272832048767065,0.4981018720891518,-105.1394306877688,1.031383567673652,22.99376538077914,-105.1394306877688
0.0001900633544514838,0.4168849133996993,0.7483596948327932,0.4931483565410514,-106.2294182362874,1.087344634723711,24.80218849841473,-106.2294182362874
0.0002000666888962987,0.4223612096372666,0.7680357536678032,0.4882438090680556,-107.145835158286,1.145614761177874,26.54375160768453,-107.145835158286
0.0002100700233411137,0.4278319775377376,0.7863462690397237,0.4833878221270732,-107.8933830995873,1.206133746607089,28.20450244837598,-107.8933830995873
0.0002200733577859286,0.4332868574454852,0.8033377188909787,0.4785799761347874,-108.4842006691406,1.268833291911566,29.77352435192175,-108.4842006691406
0.0002300766922307436,0.4387167073098281,0.8190664066838415,0.4738198423949369,-108.9351055424282,1.333641788444952,31.24293549883637,-108.9351055424282
0.0002400800266755585,0.4441137436227637,0.833596031213369,0.4691069857099289,-109.2650830551829,1.400487875402078,32.60769207326518,-109.2650830551829
0.0002500833611203735,0.4494715783072356,0.8469952706943862,0.4644409665673439,-109.493256537483,1.469303254486743,33.86528403409659,-109.493256537483
0.0002600866955651884,0.4547851119747966,0.8593352353749084,0.4598213430815046,-109.6374520581248,1.540023885846472,35.0153305377255,-109.6374520581248
0.0002700900300100033,0.4600503974111046,0.8706875761451732,0.4552476723622253,-109.7134173315854,1.612590665562737,36.05919462895707,-109.7134173315854
0.0002800933644548182,0.4652644221201027,0.8811226130644196,0.450719511898466,-109.7344703173018,1.68694870537843,36.99956742737343,-109.7344703173018
0.0002900966988996332,0.4704249707493949,0.8907084633152169,0.4462364202973423,-109.7115340239383,1.763047312711293,37.84016276461215,-109.7115340239383
0.0003001000333444481,0.4755304332523492,0.8995100186657397,0.441797958236162,-109.65330039299,1.840838828538297,38.58539629137864,-109.65330039299
0.0003101033677892631,0.4805797052565475,0.9075887132269365,0.437403688859921,-109.566542952153,1.920278447853111,39.24017598867727,-109.566542952153
0.000320106702234078,0.485572053280868,0.9150021037234393,0.4330531783501526,-109.4564244708575,2.001323218948264,39.8096861916265,-109.4564244708575
0.0003301100366788929,0.4905070170333264,0.9218037971548333,0.4287459962725922,-109.3268175322727,2.083931307828483,40.29923498751251,-109.3268175322727
0.0003401133711237079,0.4953843803509421,0.928043688058755,0.4244817155891113,-109.1806273679072,2.168062195846836,40.71416176510574,-109.1806273679072
0.0003501167055685229,0.5002040072543358,0.933767562340149,0.4202599133924466,-109.0199615245572,2.253674378613258,41.05968016630611,-109.0199615245572
0.0003601200400133378,0.5049659966198005,0.9390182252661623,0.4160801700165392,-108.8464583918994,2.340728479289313,41.34093823958956,-108.8464583918994
0.0003701233744581527,0.5096703580910534,0.9438342948552206,0.411942070626461,-108.661222182031,2.429181726918904,41.56278634602828,-108.661222182031
