"time","VV","h","m","n","gK","gNa","v"
0,-90,0.5961207535084603,0.05293248525724957,0.3176769140606974,0.3666444556069115,0.01060919283882985,-90
0.01,-89.78754633116012,0.590207164192608,0.1125065969460047,0.3229787259052435,0.3917402252565902,0.1008601682893516,-89.78754633116012
0.02,-89.59029325912695,0.5843526581743028,0.168143538044837,0.3282219190642903,0.4178042201610725,0.3333472023072654,-89.59029325912695
0.03,-89.44880131098888,0.5785565876091485,0.2201422439087266,0.3334095675269299,0.4448511663112145,0.7406913208337533,-89.44880131098888
0.04,-89.40851906854014,0.5728182428043063,0.2688046016384855,0.338547615282624,0.4729133094034595,1.335082748122621,-89.40851906854014
0.05,-89.51438436085311,0.5671368444324917,0.3144334290065605,0.3436448808804645,0.5020442715119476,2.115705641391295,-89.51438436085311
0.06,-89.80574514838719,0.5615115582792504,0.3573237407001124,0.3487127797087797,0.532321437054245,3.074153590069984,-89.80574514838719
0.07000000000000001,-90.31207768955956,0.5559415254351392,0.3977534637705165,0.3537647074796343,0.5638460185907278,4.198095089418433,-90.31207768955956
0.08,-91.0495814241108,0.5504259033605861,0.4359748087695424,0.3588151633709694,0.5967406900813812,5.47348960298404,-91.0495814241108
0.09,-92.01906742556733,0.5449639067872438,0.4722072871932438,0.3638787559178912,0.6311452319085171,6.885683245877477,-92.01906742556733
0.1,-93.20518462127264,0.5395548393792686,0.5066328255619877,0.3689691630387422,0.6672103661375053,8.419703793983439,-93.20518462127264
0.11,-94.57716189267285,0.5341981083568921,0.5393934377739511,0.3740981085014277,0.7050899916181699,10.06005992061466,-94.57716189267285
0.12,-96.09113628110531,0.5288932199514896,0.5705919050249739,0.3792744978552006,0.7449327517546472,11.79033279924398,-96.09113628110531
0.13,-97.69389528538456,0.5236397597271296,0.6002954934809205,0.3845037961247896,0.7868736968134928,13.59280573451471,-97.69389528538456
0.14,-99.32760939060525,0.5184373660796155,0.6285421290186928,0.3897877021588326,0.8310268056145429,15.44830084216405,-99.32760939060525
0.15,-100.9350468646778,0.5132857034322508,0.6553484207995265,0.395124172730676,0.8774793382275924,17.3363308191819,-100.9350468646778
0.16,-102.4644876541102,0.5081844410689897,0.6807184400359237,0.4005077754099068,0.9262885765288027,19.23557426957484,-102.4644876541102
0.17,-103.8736903654478,0.5031332391814701,0.7046521378823247,0.4059303004601969,0.977481128697351,21.12460404623561,-103.8736903654478
0.18,-105.1323721075138,0.4981317417684255,0.7271524678725217,0.4113815588849438,1.031054872599215,22.98274560120725,-105.1323721075138
0.19,-106.2230613188722,0.4931795742998285,0.7482306473846588,0.4168502362269954,1.08698289140261,24.79092925287401,-106.2230613188722
0.2,-107.1402948423223,0.488276344801729,0.7679091469361966,0.422324707205019,1.145218774961008,26.53239492559597,-107.1402948423223
0.21,-107.8887124400897,0.4834216462263654,0.7862227400828272,0.4277937259197899,1.205702452243041,28.19318502838384,-107.8887124400897
0.22,-108.4803996878003,0.4786150594816005,0.8032177850430803,0.4332469357362803,1.268365731055603,29.76237291411091,-108.4803996878003
0.23,-108.9321334070428,0.4738561563549827,0.8189504664727109,0.4386751942372274,1.333137082698508,31.23206337719456,-108.9321334070428
0.24,-109.2628721355722,0.469144502124091,0.8334843733012959,0.4440707152446434,1.399945203929633,32.5971974177978,-109.2628721355722
0.25,-109.4917256261748,0.4644796577410024,0.8468880870989929,0.4494271065196125,1.468721835341594,33.85524928801652,-109.4917256261748
0.26,-109.6365165506845,0.4598611817759804,0.8592326343343252,0.4547392635904151,1.5394029602387,35.00582260662381,-109.6365165506845
0.27,-109.7129968270582,0.4552886317821379,0.870589600491213,0.4600032346355009,1.611929498371494,36.05026633837898,-109.7129968270582
0.28,-109.734492395334,0.450761565686442,0.8810292484064488,0.4652160020841947,1.686246572458628,36.99125823540942,-109.734492395334
0.29,-109.7119372454755,0.4462795425183484,0.8906196572542989,0.4703753471450544,1.762303517842113,37.83250119546246,-109.7119372454755
0.3,-109.6540336570707,0.4418421233785476,0.899425679268266,0.475479655046913,1.840052678886309,38.57840001146857,-109.6540336570707
0.31,-109.5675668348,0.4374488718126335,0.9075087331767638,0.4805278198837442,1.919449297326631,39.23385530019261,-109.5675668348
0.32,-109.4577074844105,0.433099354415983,0.9149263444661773,0.4855191032755561,2.0004504113631,39.80404248127211,-109.4577074844105
0.33,-109.3283383923704,0.428793141130125,0.921732126224442,0.4904530462183674,2.083014273776027,40.29426609736064,-109.3283383923704
0.34,-109.1823685202679,0.4245298053264219,0.9279759419541854,0.4953294266292201,2.167100330534165,40.70985767417054,-109.1823685202679
0.35,-109.0219129006729,0.4203089244572306,0.9337035931042872,0.500148111098337,2.252667184596481,41.0560295982077,-109.0219129006729
