"time","c_pot.gate_act.n","c_sod.gate_act.n","c_sod.gate_inact.n","l2.v","c_pot.g","c_sod.g","clamp.v"
0,0.3176769140606974,0.05293248525724957,0.5961207535084602,-90,0.3666444556069115,0.01060919283882985,-90
1.000333444481494e-05,0.3229804838977354,0.11252578862877,0.5902052022267722,-89.78747605593502,0.3917487543879825,0.1009114566530553,-89.78747605593502
2.000666888962988e-05,0.3282253966535388,0.1681793944561842,0.5843487734418751,-89.59017539305046,0.4178219273825752,0.3335582879965744,-89.59017539305046
3.001000333444481e-05,0.3334147308357102,0.2201925389940138,0.578550818631395,-89.44870271600219,0.4448787234962904,0.7411917151182763,-89.44870271600219
4.001333777925975e-05,0.3385544387908019,0.2688674137623894,0.5728106273347765,-89.40855331911521,0.4729514372797053,1.33600111940496,-89.40855331911521
5.001667222407469e-05,0.3436533511422601,0.3145071356117888,0.567127419368973,-89.51470595724304,0.5020937714914354,2.117158638254542,-89.51470595724304
6.002000666888963e-05,0.3487228981577991,0.3574069946234543,0.5615003596246319,-89.80653571475999,0.5323832243138725,3.07624150631748,-89.80653571475999
7.002334111370456e-05,0.353776491777246,0.3978451557242951,0.5559285883263146,-90.31352653741158,0.563921151707878,4.200901291296848,-90.31352653741158
8.002667555851951e-05,0.3588286469264925,0.4360740169285975,0.5504112621777139,-91.05186220059663,0.5968303924195179,5.477081316980338,-91.05186220059663
9.003001000333445e-05,0.3638939856692768,0.472313220386763,0.5449475953148252,-92.02231460322211,0.6312509021439136,6.890112173706925,-92.02231460322211
0.0001000333444481494,0.3689861953706735,0.5067447627887165,0.5395368909903414,-93.20947164339138,0.6673335735648289,8.425005594799506,-93.20947164339138
0.0001100366788929643,0.3741170037879859,0.5395106733893733,0.5341785561600089,-94.58248575113039,0.7052324557104293,10.06625247324775,-94.58248575113039
0.0001200400133377793,0.3792953141694002,0.5707137035319425,0.5288720968802416,-96.09741017777112,0.7450963064462979,11.79741351491021,-96.09741017777112
0.0001300433477825942,0.3845265830077842,0.6004210621000583,0.5236170985510632,-97.70095260898188,0.7870602436618803,13.60074885207729,-97.70095260898188
0.0001400466822274091,0.3898124948494908,0.6286706062895666,0.5184131993681301,-99.33521740617218,0.831238257707329,15.45705536020216,-99.33521740617218
0.0001500500166722241,0.3951509882597805,0.6554788867617198,0.5132600634812104,-100.94293038113,0.8777175668129945,17.34582025521783,-100.94293038113
0.000160053351117039,0.4005366102439221,0.6808499398482218,0.5081573598245257,-102.4723574806857,0.9265553604823051,19.24569842971857,-102.4723574806857
0.0001700566855618539,0.405961130573157,0.7047837158165633,0.503104748179918,-103.8812719455395,0.9777781184707008,21.13524299338033,-103.8812719455395
0.0001800600200066689,0.4114143415557627,0.7272832048767032,0.4981018720891515,-105.1394306877687,1.031383567673649,22.99376538077881,-105.1394306877687
0.0001900633544514838,0.416884913399699,0.7483596948327904,0.493148356541051,-106.2294182362873,1.087344634723708,24.80218849841444,-106.2294182362873
0.0002000666888962987,0.4223612096372663,0.7680357536678007,0.4882438090680553,-107.1458351582859,1.14561476117787,26.54375160768426,-107.1458351582859
0.0002100700233411137,0.4278319775377372,0.7863462690397218,0.4833878221270729,-107.8933830995872,1.206133746607085,28.20450244837576,-107.8933830995872
0.0002200733577859286,0.4332868574454848,0.8033377188909774,0.4785799761347871,-108.4842006691406,1.26883329191156,29.77352435192159,-108.4842006691406
0.0002300766922307436,0.4387167073098276,0.8190664066838408,0.4738198423949365,-108.9351055424281,1.333641788444947,31.24293549883627,-108.9351055424281
0.0002400800266755585,0.4441137436227633,0.8335960312133683,0.4691069857099285,-109.2650830551829,1.400487875402073,32.60769207326507,-109.2650830551829
0.0002500833611203735,0.4494715783072352,0.8469952706943854,0.4644409665673436,-109.4932565374829,1.469303254486738,33.86528403409648,-109.4932565374829
0.0002600866955651884,0.454785111974796,0.8593352353749072,0.4598213430815046,-109.6374520581247,1.540023885846464,35.01533053772535,-109.6374520581247
0.0002700900300100033,0.4600503974111041,0.8706875761451713,0.4552476723622254,-109.7134173315853,1.61259066556273,36.05919462895684,-109.7134173315853
0.0002800933644548182,0.4652644221201021,0.881122613064417,0.4507195118984662,-109.7344703173016,1.68694870537842,36.99956742737311,-109.7344703173016
0.0002900966988996332,0.4704249707493943,0.890708463315214,0.4462364202973429,-109.7115340239381,1.763047312711285,37.84016276461183,-109.7115340239381
0.0003001000333444481,0.4755304332523486,0.8995100186657364,0.4417979582361625,-109.6533003929898,1.840838828538288,38.58539629137826,-109.6533003929898
0.0003101033677892631,0.4805797052565469,0.9075887132269337,0.4374036888599216,-109.5665429521528,1.920278447853101,39.24017598867697,-109.5665429521528
0.000320106702234078,0.4855720532808674,0.9150021037234363,0.4330531783501531,-109.4564244708574,2.001323218948254,39.80968619162616,-109.4564244708574
0.0003301100366788929,0.4905070170333259,0.9218037971548309,0.4287459962725926,-109.3268175322727,2.083931307828474,40.29923498751224,-109.3268175322727
0.0003401133711237079,0.4953843803509416,0.9280436880587524,0.424481715589112,-109.1806273679071,2.168062195846827,40.71416176510546,-109.1806273679071
0.0003501167055685229,0.5002040072543351,0.9337675623401471,0.4202599133924469,-109.0199615245573,2.253674378613246,41.0596801663059,-109.0199615245573
0.0003601200400133378,0.5049659966197998,0.93901822526616,0.41608017001654,-108.8464583918991,2.340728479289301,41.34093823958933,-108.8464583918991
0.0003701233744581527,0.5096703580910528,0.9438342948552196,0.4119420706264612,-108.6612221820313,2.429181726918892,41.56278634602816,-108.6612221820313
